Image,Feature Score,Quality Score,Distribution Score,Distinctiveness Score,Total Score,New Score,Good or Bad,Stars
Images/test_01.jpeg,67.73,62.12,36.50,86.71,71.64,3.58,Good,4
Images/test_02.jpeg,69.39,54.97,31.56,84.57,70.24,3.51,Good,4
Images/test_03.jpeg,70.16,48.40,61.03,84.64,72.87,3.64,Good,4
Images/test_04.jpeg,67.43,26.26,12.82,84.71,44.40,2.22,Bad,1
Images/test_05.jpeg,64.77,16.05,37.09,85.53,50.53,2.53,Bad,2
Images/test_06.jpeg,69.86,52.11,58.94,87.06,73.87,3.69,Good,4
Images/test_07.jpg,67.73,51.87,30.53,89.50,71.13,3.56,Good,4
Images/test_08.jpg,65.99,43.99,22.04,86.21,55.65,2.78,Bad,2
Images/test_09.png,70.70,42.54,33.42,85.60,70.11,3.51,Good,4
Images/test_10.jpg,66.24,65.13,55.53,86.71,73.25,3.66,Good,4
Images/test_11.png,68.28,43.43,36.85,88.92,70.91,3.55,Good,4
Images/test_12.png,69.38,54.52,41.20,89.43,73.10,3.65,Good,4
Images/test_13.png,69.65,32.30,34.21,84.75,53.55,2.68,Bad,2
Images/test_14.jpg,69.42,61.97,54.25,85.74,73.69,3.68,Good,4
Images/test_15.png,68.13,39.64,38.36,90.28,71.16,3.56,Good,4
Images/test_16.jpeg,69.58,63.48,54.32,87.80,74.73,3.74,Good,5
Images/test_17.jpg,43.23,56.03,19.56,85.72,55.42,2.77,Bad,2
Images/test_18.jpg,68.15,62.28,52.46,86.56,73.36,3.67,Good,4
Images/test_19.jpg,50.57,71.28,30.99,86.91,65.22,3.26,Good,3
Images/test_20.jpg,43.23,56.03,19.56,85.72,55.42,2.77,Bad,2
Images/test_21.jpg,70.75,57.18,61.48,87.00,74.96,3.75,Good,5
Images/test_22.jpg,63.62,46.25,53.66,85.62,69.69,3.48,Good,3
Images/test_23.jpg,71.46,56.26,65.19,87.42,75.70,3.78,Good,5
Images/test_24.jpg,51.15,55.82,50.02,85.50,65.24,3.26,Good,3
Images/test_25.jpg,59.09,59.13,57.55,84.91,69.27,3.46,Good,3
Images/test_26.jpg,69.04,65.59,62.46,90.43,76.60,3.83,Good,5
Images/test_27.jpg,71.96,61.00,59.61,87.51,75.85,3.79,Good,5
Images/test_28.jpg,72.44,63.76,66.05,87.73,77.05,3.85,Good,5
Images/test_29.jpg,71.67,60.02,56.93,85.43,74.54,3.73,Good,5
Images/test_30.jpg,68.61,63.25,59.16,87.26,74.59,3.73,Good,5
Images/test_31.jpg,63.16,70.83,63.13,86.85,73.40,3.67,Good,4
Images/test_32.jpg,71.55,66.02,58.24,87.28,75.96,3.80,Good,5
Images/test_33.jpg,Error,Error,Error,Error,Error,Error,Error,Error
Images/test_34.jpg,67.58,55.88,56.91,86.25,72.81,3.64,Good,4
Images/test_35.jpg,33.83,42.81,-0.46,87.98,45.81,2.29,Bad,1
Images/test_36.jpg,51.34,66.58,51.83,86.81,67.10,3.35,Good,3
Images/test_37.jpg,66.49,66.49,54.18,86.92,73.43,3.67,Good,4
Images/test_38.jpg,70.13,63.74,56.39,85.29,74.18,3.71,Good,5
Images/test_39.jpg,40.37,47.97,40.59,86.27,59.51,2.98,Good,3
Images/test_40.jpg,67.24,69.46,56.77,87.81,74.64,3.73,Good,5
Images/test_41.jpg,44.62,41.27,34.28,86.94,60.18,3.01,Good,3
Images/test_42.jpg,72.11,50.29,67.04,85.82,74.90,3.75,Good,5
